species,Lon,Lat
Huperzia_quasipolytrichoides,120.914642,23.258892
Huperzia_quasipolytrichoides,120.914667,23.258864
Huperzia_quasipolytrichoides,120.915833,23.471389
Huperzia_javanica,120.918725,23.638179
Huperzia_javanica,120.919722,23.460833
Huperzia_javanica,120.924549,22.464774
Huperzia_somae,120.9275,23.26
Huperzia_javanica,120.93,23.26
Huperzia_quasipolytrichoides,120.93,23.26
Huperzia_quasipolytrichoides,120.93333,23.25
Huperzia_javanica,120.933333,22.633333
Huperzia_quasipolytrichoides,120.933333,23.255
Huperzia_somae,120.935556,23.258889
Huperzia_somae,120.9375,23.2708
Huperzia_somae,120.9375,23.270833
Huperzia_quasipolytrichoides,120.937778,23.249167
Huperzia_somae,120.94,23.26
Huperzia_javanica,120.94,28.14
Huperzia_javanica,120.94059,24.22906
Huperzia_somae,120.943261,23.259509
Huperzia_somae,120.944297,23.423978
Huperzia_javanica,120.94488,24.18076
Huperzia_somae,120.945822,23.608747
Huperzia_somae,120.947705,23.540161
Huperzia_somae,120.948283,23.594149
Huperzia_selago,120.95,23.45
Huperzia_javanica,120.95,24.483333
Huperzia_selago,120.9525,23.445833
Huperzia_somae,120.9558,23.5673
Huperzia_javanica,120.956094,23.521824
Huperzia_somae,120.96051,23.697807
Huperzia_javanica,120.960556,23.468333
Huperzia_quasipolytrichoides,120.960556,23.468333
Huperzia_selago,120.960556,23.468333
Huperzia_somae,120.961,23.6978
Huperzia_javanica,120.961254,23.717402
Huperzia_quasipolytrichoides,120.9625,23.27
Huperzia_quasipolytrichoides,120.962778,24.8
Huperzia_somae,120.962778,24.8
Huperzia_somae,120.9628,24.8
Huperzia_javanica,120.964674,24.149892
Huperzia_javanica,120.966667,22.616667
Huperzia_quasipolytrichoides,120.966667,23.25
Huperzia_javanica,120.966667,24.55
Huperzia_javanica,120.968739,24.274667
Huperzia_quasipolytrichoides,120.971944,23.286389
Huperzia_javanica,120.972395,23.542677
Huperzia_quasipolytrichoides,120.975278,23.269444
Huperzia_somae,120.975278,23.269444
Huperzia_somae,120.9753,23.2694
Huperzia_javanica,120.9775,24.098333
Huperzia_javanica,120.977962,23.268103
Huperzia_quasipolytrichoides,120.97826,23.214049
Huperzia_javanica,120.9825,24.109444
Huperzia_somae,120.983011,24.269033
Huperzia_somae,120.985278,24.256389
Huperzia_javanica,120.989029,23.273042
Huperzia_quasipolytrichoides,120.99,23.497222
Huperzia_javanica,120.993333,23.849444
Huperzia_javanica,120.995556,24.591389
Huperzia_quasipolytrichoides,120.996517,23.558196
Huperzia_javanica,120.997362,24.315652
Huperzia_somae,120.9976,24.3907
Huperzia_javanica,120.998056,23.231944
Huperzia_javanica,121,22.8
Huperzia_javanica,121,24.166667
Huperzia_somae,121.0044,24.2647
Huperzia_quasipolytrichoides,121.004444,24.264722
Huperzia_somae,121.004444,24.264722
Huperzia_javanica,121.01,24.52
Huperzia_javanica,121.016295,24.426669
Huperzia_javanica,121.016667,24.153889
Huperzia_javanica,121.016667,24.516667
Huperzia_javanica,121.019654,23.188223
Huperzia_javanica,121.019722,23.188333
Huperzia_javanica,121.019722,24.092778
Huperzia_javanica,121.03,24.51
Huperzia_sutchueniana,121.03,29.13
Huperzia_javanica,121.03,29.15
Huperzia_javanica,121.03118,24.09308
Huperzia_javanica,121.033333,22.883333
Huperzia_javanica,121.033333,22.9
Huperzia_javanica,121.033889,24.265833
Huperzia_javanica,121.035833,24.070556
Huperzia_somae,121.036439,24.303157
Huperzia_javanica,121.048573,24.03276
Huperzia_javanica,121.067778,24.474444
Huperzia_javanica,121.068438,24.593044
Huperzia_javanica,121.073473,24.03866
Huperzia_somae,121.075556,24.458333
